"","Phylum","Class","Order","Family","Genus","Species","MockStrain","Kingdom","ITS1","Si5"
"96","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Laccaria","Laccaria_amethystina","Laccaria_amethystina_M65_UDB001492_sanger","Fungi","Laccaria_amethystina_M65_UDB001492_sangerITS1",NA
"97","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Laccaria","Laccaria_laccata","Laccaria_laccata_M73_sanger","Fungi","Laccaria_laccata_M73_sangerITS1","Laccaria_laccata_M73_sangerITS1Si5"
"98","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius","Lactarius_blennius","Lactarius_blennius_M69_sanger","Fungi","Lactarius_blennius_M69_sangerITS1","Lactarius_blennius_M69_sangerITS1Si5"
"99","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius","Lactarius_britannicus","Lactarius_britannicus_M154_sanger","Fungi","Lactarius_britannicus_M154_sangerITS1",NA
"100","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius","Lactarius_piperatus","Lactarius_piperatus_M33_sanger","Fungi","Lactarius_piperatus_M33_sangerITS1","Lactarius_piperatus_M33_sangerITS1Si5"
"101","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius","Lactarius_subdulcis","Lactarius_subdulcis_M78_sanger","Fungi","Lactarius_subdulcis_M78_sangerITS1","Lactarius_subdulcis_M78_sangerITS1Si5"
"102","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Lepiota","Lepiota_boudieri","Lepiota_boudieri_M42_rm_sanger","Fungi","Lepiota_boudieri_M42_rm_sangerITS1","Lepiota_boudieri_M42_rm_sangerITS1Si5"
"103","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Lepiota","Lepiota_castanea","Lepiota_castanea_M110_EU416280_1_sanger","Fungi","Lepiota_castanea_M110_EU416280_1_sangerITS1","Lepiota_castanea_M110_EU416280_1_sangerITS1Si5"
"104","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Lepiota","Lepiota_clypeolaria","Lepiota_clypeolaria_M86_KP640560_1_sanger","Fungi","Lepiota_clypeolaria_M86_KP640560_1_sangerITS1",NA
"105","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Lepista","Lepista_irina","Lepista_irina_M174_KJ681006_1_sanger","Fungi","Lepista_irina_M174_KJ681006_1_sangerITS1","Lepista_irina_M174_KJ681006_1_sangerITS1Si5"
"106","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Lepista","Lepista_nuda","Lepista_nuda_M165_KJ681006_1_sanger","Fungi","Lepista_irina_M174_KJ681006_1_sangerITS1",NA
"107","Ascomycota","Dothideomycetes","Pleosporales","Leptosphaeriaceae","Leptosphaeria","Leptosphaeria_biglobosa","Leptosphaeria_biglobosa_MB15_L_big_sanger","Fungi","Leptosphaeria_biglobosa_MB15_L_big_sangerITS1","Leptosphaeria_biglobosa_MB15_L_big_sangerITS1Si5"
"108","Basidiomycota","Agaricomycetes","Agaricales","Lycoperdaceae","Lycoperdon","Lycoperdon_pyriforme","Lycoperdon_pyriforme_M145_sanger","Fungi","Lycoperdon_pyriforme_M145_sangerITS1","Lycoperdon_pyriforme_M145_sangerITS1Si5"
"109","Basidiomycota","Agaricomycetes","Agaricales","Marasmiaceae","Marasmius","Marasmius_alliaceus","Marasmius_alliaceus_M50_sanger","Fungi","Marasmius_alliaceus_M50_sangerITS1",NA
"110","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Megacollybia","Megacollybia_platyphylla","Megacollybia_platyphylla_M4_UDB031631_sanger","Fungi","Megacollybia_platyphylla_M4_UDB031631_sangerITS1","Megacollybia_platyphylla_M4_UDB031631_sangerITS1Si5"
"111","Basidiomycota","Agaricomycetes","Polyporales","Meripilaceae","Meripilus","Meripilus_giganteus","Meripilus_giganteus_M121_KP135307_1_sanger","Fungi","Meripilus_giganteus_M121_KP135307_1_sangerITS1","Meripilus_giganteus_M121_KP135307_1_sangerITS1Si5"
"112","Basidiomycota","Agaricomycetes","Polyporales","Meruliaceae","Merulius","Merulius_tremellosus","Merulius_tremellosus_M189_GU062266_1_sanger","Fungi","Merulius_tremellosus_M189_GU062266_1_sangerITS1","Merulius_tremellosus_M189_GU062266_1_sangerITS1Si5"
"113","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Metarhizium","Metarhizium_anisopliae","Metarhizium_anisopliae_MIAE00953_sanger","Fungi","Metarhizium_anisopliae_MIAE00953_sangerITS1","Metarhizium_anisopliae_MIAE00953_sangerITS1Si5"
"114","Ascomycota","Sordariomycetes","Xylariales","Microdochiaceae","Microdochium","Microdochium_bolleyi","Microdochium_bolleyi_MIAE01959_sanger","Fungi","Microdochium_bolleyi_MIAE01959_sangerITS1","Microdochium_bolleyi_MIAE01959_sangerITS1Si5"
"115","Ascomycota","Sordariomycetes","Xylariales","Microdochiaceae","Microdochium","Microdochium_majus","Microdochium_majus_MB15_M_majus_sanger","Fungi","Microdochium_majus_MB15_M_majus_sangerITS1","Microdochium_majus_MB15_M_majus_sangerITS1Si5"
"116","Ascomycota","Sordariomycetes","Xylariales","Microdochiaceae","Microdochium","Microdochium_nivale","Microdochium_nivale_MB15_M_niv_sanger","Fungi","Microdochium_nivale_MB15_M_niv_sangerITS1","Microdochium_nivale_MB15_M_niv_sangerITS1Si5"
"117","Ascomycota","Dothideomycetes","Pleosporales","Pleosporineae","Microsphaeropsis","Microsphaeropsis_sp","Microsphaeropsis_sp_MIAE01804_KU059924_1_sanger","Fungi","Microsphaeropsis_sp_MIAE01804_KU059924_1_sangerITS1","Microsphaeropsis_sp_MIAE01804_KU059924_1_sangerITS1Si5"
"118","Mucoromycota","Mortierellales","Mortierellaceae","unidentified","Mortierella","Mortierella_elongata","Mortierella_elongata_MIAE01779_sanger","Fungi","Mortierella_elongata_MIAE01779_sangerITS1","Mortierella_elongata_MIAE01779_sangerITS1Si5"
"119","Basidiomycota","Agaricomycetes","Agaricales","Physalacriaceae","Mucidula","Mucidula_mucida","Mucidula_mucida_M112_sanger","Fungi","Mucidula_mucida_M112_sangerITS1","Mucidula_mucida_M112_sangerITS1Si5"
"120","Mucoromycota","Mucorales","Mucorineae","Mucoraceae","Mucor","Mucor_hiemalis","Mucor_hiemalis_MIAE00009_KF156335_1_sanger","Fungi","Mucor_hiemalis_MIAE00009_KF156335_1_sangerITS1","Mucor_hiemalis_MIAE00009_KF156335_1_sangerITS1Si5"
"121","Basidiomycota","Agaricomycetes","Phallales","Phallaceae","Mutinus","Mutinus_caninus","Mutinus_caninus_M123_GQ981513_1_sanger","Fungi","Mutinus_caninus_M123_GQ981513_1_sangerITS1","Mutinus_caninus_M123_GQ981513_1_sangerITS1Si5"
"122","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Mycena","Mycena_abramsii","Mycena_abramsii_M105_sanger","Fungi","Mycena_abramsii_M105_sangerITS1",NA
"123","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Mycena","Mycena_galericulata","Mycena_galericulata_M59_sanger","Fungi","Mycena_galericulata_M59_sangerITS1",NA
"124","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Mycena","Mycena_galopus","Mycena_galopus_M210_sanger","Fungi","Mycena_galopus_M210_sangerITS1",NA
"125","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Mycena","Mycena_inclinata","Mycena_inclinata_M138_UDB019606|118819_sanger","Fungi","Mycena_inclinata_M138_UDB019606|118819_sangerITS1",NA
"126","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Mycena","Mycena_pelianthina","Mycena_pelianthina_M2_sanger","Fungi","Mycena_pelianthina_M2_sangerITS1",NA
"127","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Mycena","Mycena_rosea","Mycena_rosea_M27_sanger","Fungi","Mycena_rosea_M27_sangerITS1",NA
"128","Ascomycota","Leotiomycetes","Helotiales","Dermateaceae","Naevala","Naevala_minutissima","Naevala_minutissima_MB15_N_min_sanger","Fungi","Naevala_minutissima_MB15_N_min_sangerITS1","Naevala_minutissima_MB15_N_min_sangerITS1Si5"
"129","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Panellus","Panellus_stipticus","Panellus_stipticus_M212_UDB031635_sanger","Fungi","Panellus_stipticus_M212_UDB031635_sangerITS1",NA
"130","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Paraphaeosphaeria","Paraphaeosphaeria_sporulosa","Paraphaeosphaeria_sporulosa_MIAE01806_sanger","Fungi","Paraphaeosphaeria_sporulosa_MIAE01806_sangerITS1","Paraphaeosphaeria_sporulosa_MIAE01806_sangerITS1Si5"
"131","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium_adametzii","Penicillium_adametzii_MIAE01007_sanger","Fungi","Penicillium_adametzii_MIAE01007_sangerITS1","Penicillium_adametzii_MIAE01007_sangerITS1Si5"
"132","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium_brevicompactum","Penicillium_brevicompactum_MIAE00151_sanger","Fungi","Penicillium_brevicompactum_MIAE00151_sangerITS1","Penicillium_brevicompactum_MIAE00151_sangerITS1Si5"
"133","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Peziza","Peziza_arvernensis","Peziza_arvernensis_M7_sanger","Fungi","Peziza_arvernensis_M7_sangerITS1","Peziza_arvernensis_M7_sangerITS1Si5"
"134","Ascomycota","Sordariomycetes","Togniniales","Togniniaceae","Phaeoacremonium","Phaeoacremonium_croatiense","Phaeoacremonium_croatiense_MB15_E_nigr2_sanger","Fungi","Phaeoacremonium_croatiense_MB15_E_nigr2_sangerITS1","Phaeoacremonium_croatiense_MB15_E_nigr2_sangerITS1Si5"
"135","Ascomycota","Sordariomycetes","Ophiostomatales","Ophiostomataceae","Phialocephala","Phialocephala_sp","Phialocephala_sp_MIAE00968_NR_103570_1_sanger","Fungi","Phialocephala_sp_MIAE00968_NR_103570_1_sangerITS1","Phialocephala_sp_MIAE00968_NR_103570_1_sangerITS1Si5"
"136","Basidiomycota","Agaricomycetes","Agaricales","Strophariaceae","Pholiota","Pholiota_lenta","Pholiota_lenta_M170_sanger","Fungi","Pholiota_lenta_M170_sangerITS1","Pholiota_lenta_M170_sangerITS1Si5"
"137","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Phoma","Phoma_sp","Phoma_sp_MIAE01807_sanger","Fungi","Phoma_sp_MIAE01807_sangerITS1","Phoma_sp_MIAE01807_sangerITS1Si5"
"138","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Plectosphaerella","Plectosphaerella_cucumerina","Plectosphaerella_cucumerina_MIAE00155_sanger","Fungi","Plectosphaerella_cucumerina_MIAE00155_sangerITS1","Plectosphaerella_cucumerina_MIAE00155_sangerITS1Si5"
"139","Basidiomycota","Agaricomycetes","Amylocorticiales","Amylocorticiaceae","Plicaturopsis","Plicaturopsis_faginea","Plicaturopsis_faginea_M221_rm_sanger","Fungi","Plicaturopsis_faginea_M221_rm_sangerITS1","Plicaturopsis_faginea_M221_rm_sangerITS1Si5"
"140","Basidiomycota","Agaricomycetes","Agaricales","Pluteaceae","Pluteus","Pluteus_cervinus","Pluteus_cervinus_M8_sanger","Fungi","Pluteus_cervinus_M8_sangerITS1","Pluteus_cervinus_M8_sangerITS1Si5"
"141","Basidiomycota","Agaricomycetes","Agaricales","Pluteaceae","Pluteus","Pluteus_salicinus","Pluteus_salicinus_M135_sanger","Fungi","Pluteus_salicinus_M135_sangerITS1","Pluteus_salicinus_M135_sangerITS1Si5"
"142","Basidiomycota","Agaricomycetes","Agaricales","Pluteaceae","Pluteus","Pluteus_thomsonii","Pluteus_thomsonii_M117_KX216338_1_sanger","Fungi","Pluteus_thomsonii_M117_KX216338_1_sangerITS1","Pluteus_thomsonii_M117_KX216338_1_sangerITS1Si5"
"143","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Polyporus","Polyporus_leptocephalus","Polyporus_leptocephalus_M26_sanger","Fungi","Polyporus_leptocephalus_M26_sangerITS1","Polyporus_leptocephalus_M26_sangerITS1Si5"
"144","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Psathyrella","Psathyrella_candolleana","Psathyrella_candolleana_M32_FN396114_1_rm_sanger","Fungi","Psathyrella_candolleana_M32_FN396114_1_rm_sangerITS1","Psathyrella_candolleana_M32_FN396114_1_rm_sangerITS1Si5"
"145","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Pseudoclitocybe","Pseudoclitocybe_cyathiformis","Pseudoclitocybe_cyathiformis_M218_sanger","Fungi","Pseudoclitocybe_cyathiformis_M218_sangerITS1","Pseudoclitocybe_cyathiformis_M218_sangerITS1Si5"
"146","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Pyrenophora","Pyrenophora_lolii","Pyrenophora_lolii_MB15_H_car_sanger","Fungi","Pyrenophora_lolii_MB15_H_car_sangerITS1","Pyrenophora_lolii_MB15_H_car_sangerITS1Si5"
"147","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Pyrenophora","Pyrenophora_teres","Pyrenophora_teres_MB15_H_ter2_sanger","Fungi","Pyrenophora_teres_MB15_H_ter2_sangerITS1","Pyrenophora_teres_MB15_H_ter2_sangerITS1Si5"
"148","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Pyrenophora","Pyrenophora_tritici-repentis","Pyrenophora_tritici-repentis_MB15_D_tri_sanger","Fungi","Pyrenophora_tritici-repentis_MB15_D_tri_sangerITS1","Pyrenophora_tritici-repentis_MB15_D_tri_sangerITS1Si5"
"149","Basidiomycota","Agaricomycetes","Gomphales","Gomphaceae","Ramaria","Ramaria_stricta","Ramaria_stricta_M81_KU870452_1_DQ365617_1_sanger","Fungi","Ramaria_stricta_M81_KU870452_1_DQ365617_1_sangerITS1","Ramaria_stricta_M81_KU870452_1_DQ365617_1_sangerITS1Si5"
"150","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Ramularia","Ramularia_collo-cygni","Ramularia_collo-cygni_MB15_R_colo_sanger","Fungi","Ramularia_collo-cygni_MB15_R_colo_sangerITS1","Ramularia_collo-cygni_MB15_R_colo_sangerITS1Si5"
"151","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Ramularia","Ramularia_endophylla","Ramularia_endophylla_MB15_R_endo_sanger","Fungi","Ramularia_endophylla_MB15_R_endo_sangerITS1","Ramularia_endophylla_MB15_R_endo_sangerITS1Si5"
"152","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_solani","Rhizoctonia_solani_AG_2_1_MIAE00208_JQ676936_1_sanger","Fungi","Rhizoctonia_solani_AG_2_1_MIAE00208_JQ676936_1_sangerITS1","Rhizoctonia_solani_AG_2_1_MIAE00208_JQ676936_1_sangerITS1Si5"
"153","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_solani","Rhizoctonia_solani_AG_2_2_MIAE01729_sanger","Fungi","Rhizoctonia_solani_AG_2_2_MIAE01729_sangerITS1","Rhizoctonia_solani_AG_2_2_MIAE01729_sangerITS1Si5"
"154","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_solani","Rhizoctonia_solani_AG_3_MIAE00219_EU244833_1_sanger","Fungi","Rhizoctonia_solani_AG_3_MIAE00219_EU244833_1_sangerITS1","Rhizoctonia_solani_AG_3_MIAE00219_EU244833_1_sangerITS1Si5"
"155","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_solani","Rhizoctonia_solani_AG_4_MIAE01730_sanger","Fungi","Rhizoctonia_solani_AG_4_MIAE01730_sangerITS1","Rhizoctonia_solani_AG_4_MIAE01730_sangerITS1Si5"
"156","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_solani","Rhizoctonia_solani_AG_5_MIAE00221_sanger","Fungi","Rhizoctonia_solani_AG_5_MIAE00221_sangerITS1","Rhizoctonia_solani_AG_5_MIAE00221_sangerITS1Si5"
"157","Basidiomycota","Agaricomycetes","Agaricales","Omphalotaceae","Rhodocollybia","Rhodocollybia_butyracea","Rhodocollybia_butyracea_M120_sanger","Fungi","Rhodocollybia_butyracea_M120_sangerITS1","Rhodocollybia_butyracea_M120_sangerITS1Si5"
"158","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_acrifolia","Russula_acrifolia_M101_sanger","Fungi","Russula_acrifolia_M101_sangerITS1","Russula_acrifolia_M101_sangerITS1Si5"
"159","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_curtipes","Russula_curtipes_M20_sanger","Fungi","Russula_curtipes_M20_sangerITS1","Russula_curtipes_M20_sangerITS1Si5"
"160","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_ochroleuca","Russula_ochroleuca_M98_sanger","Fungi","Russula_ochroleuca_M98_sangerITS1","Russula_ochroleuca_M98_sangerITS1Si5"
"161","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_romellii","Russula_romellii_M190_KX812855_1_KF002752_1_sanger","Fungi","Russula_romellii_M190_KX812855_1_KF002752_1_sangerITS1","Russula_romellii_M190_KX812855_1_KF002752_1_sangerITS1Si5"
"162","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_solaris","Russula_solaris_M77_sanger","Fungi","Russula_solaris_M77_sangerITS1","Russula_solaris_M77_sangerITS1Si5"
"163","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_velenovskyi","Russula_velenovskyi_M87_KM576545_1_UDB002505_sanger","Fungi","Russula_velenovskyi_M87_KM576545_1_UDB002505_sangerITS1","Russula_velenovskyi_M87_KM576545_1_UDB002505_sangerITS1Si5"
"164","Ascomycota","Sordariomycetes","Hypocreales","unidentified","Sarocladium","Sarocladium_strictum","Sarocladium_strictum_MIAE01057_sanger","Fungi","Sarocladium_strictum_MIAE01057_sangerITS1","Sarocladium_strictum_MIAE01057_sangerITS1Si5"
"165","Basidiomycota","Agaricomycetes","Boletales","Sclerodermataceae","Scleroderma","Scleroderma_bovista","Scleroderma_bovista_M52_sanger","Fungi","Scleroderma_bovista_M52_sangerITS1","Scleroderma_bovista_M52_sangerITS1Si5"
"166","Ascomycota","Sordariomycetes","unidentified","unidentified","unidentified","Sordariomycetes_sp","Sordariomycetes_sp_MIAE01808_sanger","Fungi","Sordariomycetes_sp_MIAE01808_sangerITS1","Sordariomycetes_sp_MIAE01808_sangerITS1Si5"
"167","Basidiomycota","Agaricomycetes","Russulales","Stereaceae","Stereum","Stereum_rugosum","Stereum_rugosum_MIAE00005_AM269811_1_sanger","Fungi","Stereum_rugosum_MIAE00005_AM269811_1_sangerITS1","Stereum_rugosum_MIAE00005_AM269811_1_sangerITS1Si5"
"168","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Strobilomyces","Strobilomyces_strobilaceus","Strobilomyces_strobilaceus_M155_KX499193_1_JQ319001_1_sanger","Fungi","Strobilomyces_strobilaceus_M155_KX499193_1_JQ319001_1_sangerITS1","Strobilomyces_strobilaceus_M155_KX499193_1_JQ319001_1_sangerITS1Si5"
"169","Basidiomycota","Agaricomycetes","Agaricales","Strophariaceae","Stropharia","Stropharia_caerulea","Stropharia_caerulea_M96_sanger","Fungi","Stropharia_caerulea_M96_sangerITS1","Stropharia_caerulea_M96_sangerITS1Si5"
"170","Basidiomycota","Agaricomycetes","Agaricales","Lyophyllaceae","Tephrocybe","Tephrocybe_boudieri","Tephrocybe_boudieri_M168_KP192629_1_sanger","Fungi","Tephrocybe_boudieri_M168_KP192629_1_sangerITS1","Tephrocybe_boudieri_M168_KP192629_1_sangerITS1Si5"
"171","Ascomycota","Sordariomycetes","Microascales","Ceratocystidaceae","Thielaviopsis","Thielaviopsis_paradoxa","Thielaviopsis_paradoxa_MIAE01744_sanger","Fungi","Thielaviopsis_paradoxa_MIAE01744_sangerITS1","Thielaviopsis_paradoxa_MIAE01744_sangerITS1Si5"
"172","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Tolypocladium","Tolypocladium_sp","Tolypocladium_sp_MIAE01802_sanger","Fungi","Tolypocladium_sp_MIAE01802_sangerITS1","Tolypocladium_sp_MIAE01802_sangerITS1Si5"
"173","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","Trichoderma_gamsii","Trichoderma_gamsii_MIAE00029_sanger","Fungi","Trichoderma_gamsii_MIAE00029_sangerITS1","Trichoderma_gamsii_MIAE00029_sangerITS1Si5"
"174","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","Trichoderma_hamatum","Trichoderma_hamatum_MIAE00454_sanger","Fungi","Trichoderma_hamatum_MIAE00454_sangerITS1","Trichoderma_hamatum_MIAE00454_sangerITS1Si5"
"175","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","Trichoderma_harzianum","Trichoderma_harzianum_MIAE00042_sanger","Fungi","Trichoderma_harzianum_MIAE00042_sangerITS1","Trichoderma_harzianum_MIAE00042_sangerITS1Si5"
"176","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","Trichoderma_velutinum","Trichoderma_velutinum_MIAE00033_sanger","Fungi","Trichoderma_velutinum_MIAE00033_sangerITS1","Trichoderma_velutinum_MIAE00033_sangerITS1Si5"
"177","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma","Tricholoma_album","Tricholoma_album_M186_sanger","Fungi","Tricholoma_album_M186_sangerITS1","Tricholoma_album_M186_sangerITS1Si5"
"178","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma","Tricholoma_orirubens","Tricholoma_orirubens_M195_LT000132_1_sanger","Fungi","Tricholoma_orirubens_M195_LT000132_1_sangerITS1","Tricholoma_orirubens_M195_LT000132_1_sangerITS1Si5"
"179","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma","Tricholoma_sciodes","Tricholoma_sciodes_M127_sanger","Fungi","Tricholoma_sciodes_M127_sangerITS1","Tricholoma_sciodes_M127_sangerITS1Si5"
"180","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma","Tricholoma_sulphureum","Tricholoma_sulphureum_M67_sanger","Fungi","Tricholoma_sulphureum_M67_sangerITS1","Tricholoma_sulphureum_M67_sangerITS1Si5"
"181","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma","Tricholoma_ustale","Tricholoma_ustale_M148_LT000064_1_sanger","Fungi","Tricholoma_ustale_M148_LT000064_1_sangerITS1","Tricholoma_ustale_M148_LT000064_1_sangerITS1Si5"
"182","Mucoromycota","unidentified","Umbelopsidales","Umbelopsidaceae","Umbelopsis","Umbelopsis_autotrophica","Umbelopsis_autotrophica_MIAE01810_KU556567_1_sanger","Fungi","Umbelopsis_autotrophica_MIAE01810_KU556567_1_sangerITS1","Umbelopsis_autotrophica_MIAE01810_KU556567_1_sangerITS1Si5"
"183","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Verticillium","Verticillium_alfalfae","Verticillium_alfalfae_MIAE01542_sanger","Fungi","Verticillium_alfalfae_MIAE01542_sangerITS1","Verticillium_alfalfae_MIAE01542_sangerITS1Si5"
"184","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Verticillium","Verticillium_isaacii","Verticillium_isaacii_MIAE01544_sanger","Fungi","Verticillium_isaacii_MIAE01544_sangerITS1","Verticillium_isaacii_MIAE01544_sangerITS1Si5"
"185","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Xerocomus","Xerocomus_chrysenteron","Xerocomus_chrysenteron_M23_HQ207691_1_HQ207692_1_sanger","Fungi","Xerocomus_chrysenteron_M23_HQ207691_1_HQ207692_1_sangerITS1","Xerocomus_chrysenteron_M23_HQ207691_1_HQ207692_1_sangerITS1Si5"
"186","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Zymoseptoria","Zymoseptoria_ardabiliae","Zymoseptoria_ardabiliae_MB15_Z_triS2_sanger","Fungi","Zymoseptoria_ardabiliae_MB15_Z_triS2_sangerITS1",NA
"187","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Zymoseptoria","Zymoseptoria_passerinii","Zymoseptoria_passerinii_MB15_S_pas1_sanger","Fungi","Zymoseptoria_passerinii_MB15_S_pas1_sangerITS1","Zymoseptoria_passerinii_MB15_S_pas1_sangerITS1Si5"
"188","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Zymoseptoria","Zymoseptoria_pseudotritici","Zymoseptoria_pseudotritici_MB15_Z_triS1_sanger","Fungi","Zymoseptoria_tritici_MB15_Z_trit1_sangerITS1",NA
"189","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Zymoseptoria","Zymoseptoria_tritici","Zymoseptoria_tritici_MB15_Z_trit1_sanger","Fungi","Zymoseptoria_tritici_MB15_Z_trit1_sangerITS1","Zymoseptoria_tritici_MB15_Z_trit1_sangerITS1Si5"
